num decayed parameter tensors: 39, with 27,803,136 parameters
num non-decayed parameter tensors: 22, with 11,776 parameters
using fused AdamW: True
step 0: train 3.9211, val 3.9232, accuracy 0.007
step 1: loss 3.8097, 1.670s
step 10: loss 2.6606, 1.238s
step 20: loss 2.0149, 1.015s
step 30: loss 1.8663, 1.070s
step 40: loss 1.8003, 1.057s
step 50: loss 1.7418, 1.164s
step 60: loss 1.6371, 1.189s
step 70: loss 1.5914, 1.061s
step 80: loss 1.5633, 1.203s
step 90: loss 1.5345, 1.021s
step 100: loss 1.4555, 1.167s
step 110: loss 1.4922, 1.006s
step 120: loss 1.4487, 1.034s
step 130: loss 1.4248, 1.200s
step 140: loss 1.4785, 0.874s
step 150: loss 1.4112, 1.110s
step 160: loss 1.3517, 1.199s
step 170: loss 1.3971, 1.038s
step 180: loss 1.3031, 1.171s
step 190: loss 1.3161, 1.072s
step 200: loss 1.2278, 1.246s
step 210: loss 1.2200, 1.091s
step 220: loss 1.2241, 1.004s
step 230: loss 1.1946, 1.106s
step 240: loss 1.1699, 1.143s
step 250: loss 1.1388, 1.226s
step 260: loss 1.2180, 1.029s
step 270: loss 1.1702, 1.171s
step 280: loss 1.1756, 0.996s
step 290: loss 1.1359, 0.984s
step 300: loss 1.1066, 1.122s
step 310: loss 1.1416, 0.998s
step 320: loss 1.1105, 1.122s
step 330: loss 1.1115, 0.991s
step 340: loss 1.0560, 1.180s
step 350: loss 1.0544, 1.086s
step 360: loss 1.0613, 1.127s
step 370: loss 1.0356, 1.106s
step 380: loss 1.0192, 1.098s
step 390: loss 1.0284, 0.952s
step 400: loss 1.0056, 1.203s
step 410: loss 0.9993, 1.125s
step 420: loss 0.9835, 1.068s
step 430: loss 0.9821, 0.986s
step 440: loss 0.9740, 0.839s
step 450: loss 0.9730, 1.030s
step 460: loss 0.9467, 1.189s
step 470: loss 0.9233, 1.079s
step 480: loss 0.9199, 1.178s
step 490: loss 0.9029, 1.225s
step 500: loss 0.9102, 1.174s
step 500: train 0.8752, val 0.8768, accuracy 0.684
step 510: loss 0.9025, 1.082s
step 520: loss 0.8937, 1.051s
step 530: loss 0.8981, 1.046s
step 540: loss 0.8587, 1.164s
step 550: loss 0.8748, 1.142s
step 560: loss 0.8527, 1.158s
step 570: loss 0.8391, 1.105s
step 580: loss 0.8373, 1.054s
step 590: loss 0.8558, 0.956s
step 600: loss 0.8314, 1.067s
step 610: loss 0.8198, 1.151s
step 620: loss 0.8112, 1.007s
step 630: loss 0.8074, 1.097s
step 640: loss 0.8061, 1.150s
step 650: loss 0.7778, 0.923s
step 660: loss 0.7629, 1.197s
step 670: loss 0.7727, 1.012s
step 680: loss 0.7628, 1.107s
step 690: loss 0.7534, 1.092s
step 700: loss 0.7450, 0.965s
step 710: loss 0.7441, 1.041s
step 720: loss 0.7457, 0.948s
step 730: loss 0.7313, 1.020s
step 740: loss 0.7250, 0.997s
step 750: loss 0.7150, 1.142s
step 760: loss 0.7133, 1.012s
step 770: loss 0.6930, 1.031s
step 780: loss 0.6914, 1.148s
step 790: loss 0.7009, 1.141s
step 800: loss 0.6981, 1.135s
step 810: loss 0.6957, 1.117s
step 820: loss 0.6708, 1.194s
step 830: loss 0.6828, 1.066s
step 840: loss 0.6748, 1.023s
step 850: loss 0.6449, 1.028s
step 860: loss 0.6687, 1.148s
step 870: loss 0.6384, 0.989s
step 880: loss 0.6363, 1.072s
step 890: loss 0.6403, 1.021s
step 900: loss 0.6291, 1.097s
step 910: loss 0.6374, 0.993s
step 920: loss 0.6287, 1.096s
step 930: loss 0.6122, 1.020s
step 940: loss 0.6110, 1.069s
step 950: loss 0.6068, 0.983s
step 960: loss 0.6224, 1.075s
step 970: loss 0.6078, 1.114s
step 980: loss 0.5864, 1.083s
step 990: loss 0.5978, 1.170s
step 1000: loss 0.6098, 0.944s
step 1000: train 0.5854, val 0.5776, accuracy 0.791
step 1010: loss 0.5945, 1.106s
step 1020: loss 0.5804, 1.158s
step 1030: loss 0.5985, 1.023s
step 1040: loss 0.5974, 0.971s
step 1050: loss 0.5835, 1.316s
step 1060: loss 0.5901, 0.949s
step 1070: loss 0.5756, 1.090s
step 1080: loss 0.5712, 1.228s
step 1090: loss 0.5646, 1.129s
step 1100: loss 0.5705, 1.084s
step 1110: loss 0.5760, 1.075s
